Z = 0
8.36280e-02	9.36670e-02	1.02564e-01	1.06052e-01	1.04028e-01	9.66682e-02	8.43565e-02	7.10030e-02	6.60902e-02	6.92447e-02	7.15338e-02	6.97355e-02	6.38259e-02	5.34081e-02	3.69330e-02	1.64296e-02	5.04828e-03	
9.34190e-02	9.91055e-02	1.04843e-01	1.07076e-01	1.04944e-01	9.85470e-02	8.88375e-02	7.90358e-02	7.39707e-02	7.35958e-02	7.33740e-02	7.04169e-02	6.38462e-02	5.29838e-02	3.63852e-02	1.61062e-02	4.92812e-03	
1.02328e-01	1.04746e-01	1.07412e-01	1.08128e-01	1.05847e-01	1.00589e-01	9.33729e-02	8.62083e-02	8.10580e-02	7.80555e-02	7.54649e-02	7.11608e-02	6.35166e-02	5.17313e-02	3.49437e-02	1.52896e-02	4.62924e-03	
1.05936e-01	1.07009e-01	1.08112e-01	1.07898e-01	1.05511e-01	1.00934e-01	9.49654e-02	8.88654e-02	8.36709e-02	7.95748e-02	7.58115e-02	7.06561e-02	6.17450e-02	4.87105e-02	3.19052e-02	1.36043e-02	4.03378e-03	
1.03946e-01	1.04907e-01	1.05856e-01	1.05535e-01	1.03137e-01	9.86442e-02	9.28024e-02	8.67781e-02	8.15176e-02	7.71855e-02	7.30236e-02	6.71022e-02	5.65434e-02	4.16347e-02	2.55956e-02	1.04748e-02	3.06987e-03	
9.65323e-02	9.85322e-02	1.00662e-01	1.01021e-01	9.87055e-02	9.37340e-02	8.69796e-02	8.01321e-02	7.47982e-02	7.09960e-02	6.70907e-02	6.06092e-02	4.79320e-02	2.81987e-02	1.45041e-02	6.14819e-03	1.92242e-03	
8.42543e-02	8.89527e-02	9.35797e-02	9.51488e-02	9.29550e-02	8.71001e-02	7.83789e-02	6.94075e-02	6.40593e-02	6.20387e-02	5.91633e-02	5.23593e-02	3.89612e-02	1.93658e-02	7.80491e-03	2.73458e-03	8.30379e-04	
7.11529e-02	7.94096e-02	8.65885e-02	8.91499e-02	8.70250e-02	8.04007e-02	6.96257e-02	5.77998e-02	5.23805e-02	5.26291e-02	5.05774e-02	4.34125e-02	3.06726e-02	1.40394e-02	4.62962e-03			
6.62999e-02	7.44069e-02	8.15066e-02	8.40274e-02	8.18327e-02	7.51218e-02	6.43198e-02	5.24243e-02	4.63441e-02	4.52464e-02	4.15294e-02	3.30975e-02	2.18278e-02	9.45592e-03	2.91751e-03			
6.93484e-02	7.39116e-02	7.84681e-02	7.99737e-02	7.75427e-02	7.12865e-02	6.21792e-02	5.25552e-02	4.51362e-02	3.96776e-02	3.20969e-02	1.99155e-02	1.10406e-02	4.99035e-03	1.64309e-03			
